,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
4713059,W 55 St & 6 Ave,Broadway & W 56 St,40.763189,-73.978434,40.7652654,-73.98192338,1462
675123,8 Ave & W 16 St,W 21 St & 6 Ave,40.740983,-74.001702,40.74173969,-73.99415556,1461
4246831,W 13 St & 7 Ave,W 13 St & 7 Ave,40.73781509,-73.99994661,40.73781509,-73.99994661,1460
675255,8 Ave & W 16 St,W 22 St & 10 Ave,40.740983,-74.001702,40.74691959,-74.00451887,1459
2253738,E 53 St & Madison Ave,E 53 St & Madison Ave,40.7597108,-73.97402311,40.7597108,-73.97402311,1458
917496,Ave A & E 11 St,Ave A & E 14 St,40.72854745023944,-73.98175925016403,40.73031071000895,-73.98047178983688,1457
287552,3 Ave & E 62 St,3 Ave & E 62 St,40.76312584,-73.96526895,40.76312584,-73.96526895,1454
1837334,E 13 St & 2 Ave,Broadway & E 14 St,40.73153937464073,-73.9853024482727,40.73454567,-73.99074142,1453
748898,9 Ave & W 22 St,W 20 St & 7 Ave,40.7454973,-74.00197139,40.74238787,-73.99726235,1450
3635607,Pike St & E Broadway,Pike St & E Broadway,40.71406667,-73.99293911,40.71406667,-73.99293911,1448
4474758,W 34 St & 11 Ave,11 Ave & W 41 St,40.75594159,-74.0021163,40.76030096,-73.99884222,1448
2001063,E 20 St & Park Ave,E 20 St & 2 Ave,40.73827428,-73.98751968,40.73587678,-73.98205027,1447
2742627,Grand Army Plaza & Central Park S,Broadway & W 58 St,40.7643971,-73.97371465,40.76695317,-73.98169333,1445
64006,1 Ave & E 68 St,E 85 St & 3 Ave,40.76500525,-73.95818491,40.77801203,-73.95407149,1443
524777,5 Ave & E 87 St,7 Ave & Central Park South,40.78232260730881,-73.95987510681152,40.7667405590595,-73.9790689945221,1442
3731775,Riverside Blvd & W 67 St,12 Ave & W 40 St,40.777507027547976,-73.98888587951659,40.76087502,-74.00277668,1442
2001168,E 20 St & Park Ave,E 20 St & FDR Dr,40.73827428,-73.98751968,40.733208626522426,-73.9756813647,1441
4351825,W 20 St & 8 Ave,W 21 St & 6 Ave,40.74345335,-74.00004031,40.74173969,-73.99415556,1441
2161592,E 44 St & 2 Ave,E 44 St & 2 Ave,40.75118387463277,-73.97138714790344,40.75118387463277,-73.97138714790344,1441
1714650,Dock St & Front St,Old Fulton St,40.702709,-73.99253,40.70277159,-73.99383605,1441
4993415,West End Ave & W 60 St,W 70 St & Amsterdam Ave,40.77237,-73.99005,40.77748046,-73.98288594,1441
3369840,Mercer St & Spring St,Mercer St & Spring St,40.72362738,-73.99949601,40.72362738,-73.99949601,1440
3287655,Madison Ave & E 26 St,Madison Ave & E 26 St,40.742684734875695,-73.98671329021454,40.742684734875695,-73.98671329021454,1440
1441389,Central Park West & W 68 St,Central Park West & W 85 St,40.7734066,-73.97782542,40.78476,-73.969862,1440
3572862,Orchard St & Grand St,Orchard St & Grand St,40.717318403855785,-73.99067759513855,40.717318403855785,-73.99067759513855,1439
1327860,Canal St & Rutgers St,Clinton St & Grand St,40.71427487,-73.98990025,40.71559509,-73.9870295,1439
3105883,Lafayette St & E 8 St,Broadway & E 14 St,40.73020660529954,-73.99102628231049,40.73454567,-73.99074142,1439
3214252,Lexington Ave & E 29 St,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,40.74311555376486,-73.98215353488922,1438
3625766,Pier 40 - Hudson River Park,10 Ave & W 14 St,40.7277140777778,-74.01129573583603,40.74198159994023,-74.00831580162048,1435
649759,7 Ave & Park Pl,3 St & 7 Ave,40.6776147,-73.97324283,40.6703837,-73.97839676,1435
754052,9 Ave & W 45 St,9 Ave & W 22 St,40.76019252,-73.9912551,40.7454973,-74.00197139,1434
2742963,Grand Army Plaza & Central Park S,Central Park North & Adam Clayton Powell Blvd,40.7643971,-73.97371465,40.799484,-73.955613,1432
643476,7 Ave & Central Park South,Central Park S & 6 Ave,40.7667405590595,-73.9790689945221,40.76590936,-73.97634151,1431
3946299,St Nicholas Ave & Manhattan Ave,Frederick Douglass Blvd & W 115 St,40.809725,-73.953149,40.8038654,-73.9559308,1431
2389623,E 76 St & Park Ave,E 76 St & Park Ave,40.773763,-73.96222088,40.773763,-73.96222088,1430
47938,1 Ave & E 62 St,E 74 St & 1 Ave,40.7612274,-73.96094022,40.7689738,-73.95482273,1430
60093,1 Ave & E 68 St,E 44 St & Lexington Ave,40.76500525,-73.95818491,40.752643,-73.974996,1429
746707,9 Ave & W 22 St,Hudson St & W 13 St,40.7454973,-74.00197139,40.74005708567285,-74.0052741765976,1429
2433218,E 84 St & Park Ave,E 84 St & Park Ave,40.77862688,-73.95772073,40.77862688,-73.95772073,1429
1741685,Dyckman St & Staff St,Dyckman St & Staff St,40.868846,-73.931537,40.868846,-73.931537,1428
2442641,E 85 St & 3 Ave,E 85 St & York Ave,40.77801203,-73.95407149,40.77536905,-73.94803392,1427
187723,2 Ave & E 29 St,E 13 St & 2 Ave,40.74172351097472,-73.97809267044067,40.73153937464073,-73.9853024482727,1426
876934,Amsterdam Ave & W 79 St,Columbus Ave & W 72 St,40.7829391,-73.9786517,40.7770575,-73.97898475,1426
4819216,W 87 St & Amsterdam Ave,W 87 St & Amsterdam Ave,40.78839,-73.9747,40.78839,-73.9747,1421
54217,1 Ave & E 68 St,3 Ave & E 62 St,40.76500525,-73.95818491,40.76312584,-73.96526895,1420
2957577,Hudson St & Reade St,North Moore St & Greenwich St,40.71625008,-74.0091059,40.72019521437465,-74.0103006362915,1420
1725914,Driggs Ave & N 9 St,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,40.71816969454208,-73.95520135760307,1420
2008485,E 22 St & 2 Ave,E 22 St & 2 Ave,40.73716919369882,-73.98122549057007,40.73716919369882,-73.98122549057007,1419
3687695,Prospect Park West & 8 St,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,40.66514681533792,-73.97637605667114,1419
4357211,W 21 St & 6 Ave,9 Ave & W 18 St,40.74173969,-73.99415556,40.74317449,-74.00366443,1417
882053,Amsterdam Ave & W 79 St,W 67 St & Broadway,40.7829391,-73.9786517,40.77492513,-73.98266566,1415
4618553,W 46 St & 11 Ave,W 46 St & 11 Ave,40.76341379,-73.99667444,40.76341379,-73.99667444,1414
2998538,Jackson Ave & 46 Rd,Center Blvd & 51 Ave,40.74524768,-73.94733276,40.74336608027021,-73.95960688591003,1413
4338747,W 20 St & 10 Ave,W 22 St & 8 Ave,40.745686,-74.005141,40.74475148,-73.99915362,1413
525763,5 Ave & E 87 St,Central Park North & Adam Clayton Powell Blvd,40.78232260730881,-73.95987510681152,40.799484,-73.955613,1411
675624,8 Ave & W 16 St,W 26 St & 8 Ave,40.740983,-74.001702,40.74734825,-73.99723551,1410
62205,1 Ave & E 68 St,E 65 St & 2 Ave,40.76500525,-73.95818491,40.76471851944339,-73.96222069859505,1409
2868432,Greenwich St & Perry St,Greenwich St & Perry St,40.73498,-74.00697,40.73498,-74.00697,1409
2140332,E 40 St & Park Ave,W 31 St & 7 Ave,40.750756,-73.978326,40.749156,-73.9916,1408
4693531,W 54 St & 11 Ave,12 Ave & W 40 St,40.768333,-73.992573,40.76087502,-74.00277668,1408
2044642,E 27 St & Park Ave S,E 27 St & Park Ave S,40.74275179648995,-73.9847157150507,40.74275179648995,-73.9847157150507,1407
4197171,W 11 St & 6 Ave,W 21 St & 6 Ave,40.73532427,-73.99800419,40.74173969,-73.99415556,1406
682178,8 Ave & W 27 St,8 Ave & W 27 St,40.747968,-73.996637,40.747968,-73.996637,1406
77115,1 Ave & E 78 St,E 88 St & 1 Ave,40.77140426,-73.9535166,40.778301,-73.9488134,1406
2354287,E 7 St & Ave C,Cooper Square & Astor Pl,40.72412944090093,-73.97901266813278,40.72951496224949,-73.99075269699097,1405
3974962,Stagg St & Union Ave,Stagg St & Union Ave,40.70877084,-73.95095259,40.70877084,-73.95095259,1405
695278,8 Ave & W 33 St,11 Ave & W 41 St,40.751551,-73.993934,40.76030096,-73.99884222,1404
2574658,Flatbush Ave & Ocean Ave,Plaza St East & Flatbush Ave,40.663657,-73.963014,40.673134,-73.969106,1400
917358,Ave A & E 11 St,Ave A & E 11 St,40.72854745023944,-73.98175925016403,40.72854745023944,-73.98175925016403,1399
1440502,Central Park West & W 68 St,Central Park W & W 91 St,40.7734066,-73.97782542,40.78866499127884,-73.96680057048798,1399
511934,5 Ave & E 72 St,Broadway & W 58 St,40.77282817,-73.96685276,40.76695317,-73.98169333,1398
